Unnamed: 0,Brand,Current Price,Original Price,Discount Percentage,Rating,Number OF Ratings,Model Name,Dial Shape,Strap Color,Strap Material,Touchscreen,Battery Life (Days),Bluetooth,Display Size,Weight
1,6,3799.0,16999.0,77.65162657,4.3,20788.0,17,0,2,11,1,3.5,1,15,2
2,3,1999.0,7990.0,74.98122653,3.8,21724.0,308,0,2,11,1,8.0,1,14,1
3,6,1799.0,19999.0,91.00455023,4.3,13244.0,19,0,2,11,1,3.5,1,15,3
4,14,1599.0,4999.0,68.01360272,4.1,13901.0,329,0,2,7,1,8.0,1,14,1
5,14,1499.0,3999.0,62.51562891,4.0,32704.0,172,0,2,7,1,8.0,1,14,1
6,14,1999.0,4999.0,60.0120024,4.1,1018.0,360,0,2,11,1,17.5,1,11,1
7,14,1799.0,3999.0,55.01375344,4.0,32704.0,383,0,2,7,1,8.0,1,14,1
8,14,1999.0,6499.0,69.24142176,4.1,39479.0,332,0,2,7,1,8.0,1,15,1
9,14,1999.0,5999.0,66.67777963,4.1,39479.0,331,0,2,7,1,8.0,1,15,1
10,14,1999.0,5999.0,66.67777963,4.1,8765.0,327,0,2,7,1,8.0,1,16,1
11,14,1799.0,3999.0,55.01375344,4.0,32704.0,382,0,2,7,1,8.0,1,14,1
12,14,3799.0,7999.0,52.50656332,3.8,545.0,323,0,2,11,1,8.0,1,14,1
13,14,3499.0,5999.0,41.67361227,3.8,281.0,333,0,2,11,1,8.0,1,14,1
14,14,1999.0,5999.0,66.67777963,4.1,9081.0,388,0,2,7,1,17.5,1,15,1
15,14,1499.0,4999.0,70.0140028,4.0,93075.0,384,0,2,9,1,3.6,1,10,0
16,14,1799.0,4999.0,64.01280256,4.1,13901.0,330,0,2,7,1,8.0,1,14,1
17,14,1999.0,5999.0,66.67777963,4.1,8765.0,328,0,2,7,1,8.0,1,16,1
18,14,1999.0,5999.0,66.67777963,4.1,9081.0,387,0,2,7,1,17.5,1,15,1
