Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
0,12794,2,0,1480000.0,1,23,45,2.5,3067.0,2.0,1.0,1.0,202.0,126.0,1970.0,31,-37.7996,144.9984,2,4019.0
0,5943,2,0,1035000.0,1,23,47,2.5,3067.0,2.0,1.0,0.0,156.0,79.0,1900.0,31,-37.8079,144.9934,2,4019.0
0,9814,3,0,1465000.0,3,23,48,2.5,3067.0,3.0,2.0,0.0,134.0,150.0,1900.0,31,-37.8093,144.9944,2,4019.0
0,9004,3,0,850000.0,0,23,48,2.5,3067.0,3.0,2.0,1.0,94.0,126.0,1970.0,31,-37.7969,144.9969,2,4019.0
0,10589,4,0,1600000.0,4,155,49,2.5,3067.0,3.0,1.0,2.0,120.0,142.0,2014.0,31,-37.8072,144.9941,2,4019.0
0,2195,2,0,941000.0,1,106,52,2.5,3067.0,2.0,1.0,0.0,181.0,126.0,1970.0,31,-37.8041,144.9953,2,4019.0
0,2142,3,0,1876000.0,1,155,52,2.5,3067.0,4.0,2.0,0.0,245.0,210.0,1910.0,31,-37.8024,144.9993,2,4019.0
0,13335,2,0,1636000.0,1,155,56,2.5,3067.0,2.0,1.0,2.0,256.0,107.0,1890.0,31,-37.806,144.9954,2,4019.0
0,11082,1,2,300000.0,1,23,56,2.5,3067.0,1.0,1.0,1.0,0.0,126.0,1970.0,31,-37.8008,144.9973,2,4019.0
0,1090,2,0,1097000.0,1,23,56,2.5,3067.0,3.0,1.0,2.0,220.0,75.0,1900.0,31,-37.801,144.9989,2,4019.0
0,9174,2,2,700000.0,4,106,7,2.5,3067.0,2.0,2.0,1.0,0.0,126.0,1970.0,31,-37.811,145.0067,2,4019.0
0,9029,3,0,1350000.0,4,155,7,2.5,3067.0,3.0,2.0,2.0,214.0,190.0,2005.0,31,-37.8085,144.9964,2,4019.0
0,2125,2,2,750000.0,1,23,7,2.5,3067.0,2.0,2.0,1.0,0.0,94.0,2009.0,31,-37.8078,144.9965,2,4019.0
